0,76.1
10,79.7
20,85.5
30,93.6
40,103.7
50,116.5
60,129.9
70,144.8
80,160
90,172.9
100,187.4
110,203
120,214.5
130,228
140,238
150,252
160,265.5
170,278
180,288.5
190,297.8
200,307.6
210,312
220,313
