"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2016-11-08 00:00:00","2016","11","8","0","0","30.69","-88.2","56.1","1.222","70.85","1.769","65.15"
"2016-11-08 00:01:00","2016","11","8","0","1","30.69","-88.2","56.1","0.926","73.09","1.731","69.76"
"2016-11-08 00:02:00","2016","11","8","0","2","30.69","-88.2","56.1","1.189","72.83","1.839","63.62"
"2016-11-08 00:03:00","2016","11","8","0","3","30.69","-88.2","56.1","0.72","79.25","1.55","68.19"
"2016-11-08 00:04:00","2016","11","8","0","4","30.69","-88.2","56.1","0.787","82.5","1.873","77.66"
"2016-11-08 00:05:00","2016","11","8","0","5","30.69","-88.2","56.1","1.277","60.67","1.855","58.29"
"2016-11-08 00:06:00","2016","11","8","0","6","30.69","-88.2","56.1","1.462","64.75","2.156","63.13"
"2016-11-08 00:07:00","2016","11","8","0","7","30.69","-88.2","56.1","1.003","81.2","1.39","85.7"
"2016-11-08 00:08:00","2016","11","8","0","8","30.69","-88.2","56.1","0.686","75.27","1.344","65.36"
"2016-11-08 00:09:00","2016","11","8","0","9","30.69","-88.2","56.1","1.006","82.5","1.539","63.04"
"2016-11-08 00:10:00","2016","11","8","0","10","30.69","-88.2","56.1","0.947","76.18","1.321","65.21"
"2016-11-08 00:11:00","2016","11","8","0","11","30.69","-88.2","56.1","0.679","74.28","1.749","64.5"
"2016-11-08 00:12:00","2016","11","8","0","12","30.69","-88.2","56.1","1.116","47.79","1.681","56.96"
"2016-11-08 00:13:00","2016","11","8","0","13","30.69","-88.2","56.1","0.908","70.56","1.173","66.42"
"2016-11-08 00:14:00","2016","11","8","0","14","30.69","-88.2","56.1","1.145","60.99","1.555","62.47"
"2016-11-08 00:15:00","2016","11","8","0","15","30.69","-88.2","56.1","0.939","73","2.203","60.29"
"2016-11-08 00:16:00","2016","11","8","0","16","30.69","-88.2","56.1","1.186","67.39","2.12","61.28"
"2016-11-08 00:17:00","2016","11","8","0","17","30.69","-88.2","56.1","1.254","59.21","1.806","70.7"
"2016-11-08 00:18:00","2016","11","8","0","18","30.69","-88.2","56.1","0.794","76.97","1.619","62.8"
"2016-11-08 00:19:00","2016","11","8","0","19","30.69","-88.2","56.1","1.295","80.2","2.004","74.09"
"2016-11-08 00:20:00","2016","11","8","0","20","30.69","-88.2","56.1","1.075","67.65","1.695","64.3"
"2016-11-08 00:21:00","2016","11","8","0","21","30.69","-88.2","56.1","1.042","67.24","1.656","58.56"
"2016-11-08 00:22:00","2016","11","8","0","22","30.69","-88.2","56.1","0.787","85.1","1.539","63.19"
"2016-11-08 00:23:00","2016","11","8","0","23","30.69","-88.2","56.1","1.178","61.02","1.588","66.91"
"2016-11-08 00:24:00","2016","11","8","0","24","30.69","-88.2","56.1","0.822","87.7","1.421","75.12"
