"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","AirT_1pt5m","AirT_2m","AirT_9pt5m","AirT_10m","RH_2m","RH_10m","Pressure_1","Pressure_2","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2017-05-24 00:00:00","2017","5","24","0","0","30.69","-88.2","56.1","20.89","20.84","20.88","21.34","94.9","96.9","999.0838","999.124","0.002","219.8","0.137","280.1"
"2017-05-24 00:01:00","2017","5","24","0","1","30.69","-88.2","56.1","20.88","20.84","20.87","21.32","94.9","96.9","999.0635","999.1237","0.002","219.8","0.207","289.3"
"2017-05-24 00:02:00","2017","5","24","0","2","30.69","-88.2","56.1","20.87","20.81","20.87","21.34","94.9","96.9","999.0836","999.1036","0.002","219.8","0.095","274.6"
"2017-05-24 00:03:00","2017","5","24","0","3","30.69","-88.2","56.1","20.86","20.83","20.86","21.33","94.9","96.9","999.0855","999.1257","0.002","219.8","0.008","302.1"
"2017-05-24 00:04:00","2017","5","24","0","4","30.69","-88.2","56.1","20.85","20.81","20.86","21.31","94.9","96.9","999.103","999.123","0.002","219.7","0.008","350.4"
"2017-05-24 00:05:00","2017","5","24","0","5","30.69","-88.2","56.1","20.85","20.8","20.86","21.35","95","96.9","999.0828","999.123","0.002","219.8","0.265","293.9"
"2017-05-24 00:06:00","2017","5","24","0","6","30.69","-88.2","56.1","20.84","20.79","20.84","21.3","95","96.9","999.0627","999.0828","0.002","219.8","0.069","272.1"
"2017-05-24 00:07:00","2017","5","24","0","7","30.69","-88.2","56.1","20.85","20.8","20.84","21.28","95","96.9","999.0448","999.0849","0.002","219.8","0.18","264.9"
"2017-05-24 00:08:00","2017","5","24","0","8","30.69","-88.2","56.1","20.85","20.78","20.85","21.3","95","97","999.0021","999.0824","0.002","219.8","0.253","286.7"
"2017-05-24 00:09:00","2017","5","24","0","9","30.69","-88.2","56.1","20.88","20.81","20.84","21.32","95","96.9","998.9841","999.0243","0.002","219.8","0.242","290.8"
"2017-05-24 00:10:00","2017","5","24","0","10","30.69","-88.2","56.1","20.88","20.83","20.83","21.27","95.1","96.9","998.944","998.9641","0.002","219.8","0.221","290.6"
"2017-05-24 00:11:00","2017","5","24","0","11","30.69","-88.2","56.1","20.85","20.79","20.85","21.33","95","97","998.8655","998.9257","0.002","219.8","0.41","301"
"2017-05-24 00:12:00","2017","5","24","0","12","30.69","-88.2","56.1","20.81","20.78","20.86","21.32","95","97.1","998.8246","998.8849","0.002","219.8","0.002","302.3"
"2017-05-24 00:13:00","2017","5","24","0","13","30.69","-88.2","56.1","20.76","20.76","20.84","21.29","95","97","998.804","998.824","0.002","219.8","0.002","301.8"
"2017-05-24 00:14:00","2017","5","24","0","14","30.69","-88.2","56.1","20.73","20.73","20.82","21.27","94.9","97","998.7838","998.804","0.002","219.8","0.253","300.8"
"2017-05-24 00:15:00","2017","5","24","0","15","30.69","-88.2","56.1","20.71","20.7","20.8","21.24","94.9","97","998.7474","998.7675","0.002","219.7","0.08","307.7"
"2017-05-24 00:16:00","2017","5","24","0","16","30.69","-88.2","56.1","20.69","20.7","20.77","21.23","95","97","998.704","998.7241","0.002","219.7","0.237","306"
"2017-05-24 00:17:00","2017","5","24","0","17","30.69","-88.2","56.1","20.68","20.67","20.76","21.22","95","97","998.6633","998.7035","0.002","217.7","0.111","329.9"
"2017-05-24 00:18:00","2017","5","24","0","18","30.69","-88.2","56.1","20.67","20.66","20.76","21.17","95","97","998.6232","998.6633","0.002","215.3","0.031","344.9"
"2017-05-24 00:19:00","2017","5","24","0","19","30.69","-88.2","56.1","20.66","20.65","20.75","21.19","95","97","998.6269","998.647","0.002","215.3","0.002","323.4"
"2017-05-24 00:20:00","2017","5","24","0","20","30.69","-88.2","56.1","20.66","20.63","20.75","21.23","95","97","998.6237","998.6437","0.002","213.6","0.108","239.6"
"2017-05-24 00:21:00","2017","5","24","0","21","30.69","-88.2","56.1","20.66","20.63","20.74","21.22","95.1","97","998.585","998.6051","0.002","212.2","0.261","298.8"
"2017-05-24 00:22:00","2017","5","24","0","22","30.69","-88.2","56.1","20.61","20.61","20.72","21.15","95","97","998.585","998.6251","0.002","212.8","0.002","334.4"
"2017-05-24 00:23:00","2017","5","24","0","23","30.69","-88.2","56.1","20.63","20.59","20.71","21.16","95","97","998.5862","998.6264","0.062","214","0.191","215.5"
"2017-05-24 00:24:00","2017","5","24","0","24","30.69","-88.2","56.1","20.63","20.6","20.71","21.17","95.1","96.9","998.6031","998.6634","0.002","213.9","0.003","268.5"
"2017-05-24 00:25:00","2017","5","24","0","25","30.69","-88.2","56.1","20.64","20.6","20.72","21.19","95.1","97","998.663","998.683","0.08","213.8","0.209","253.3"
"2017-05-24 00:26:00","2017","5","24","0","26","30.69","-88.2","56.1","20.65","20.59","20.73","21.18","95.2","97","998.663","998.7031","0.132","205.2","0.514","275.8"
"2017-05-24 00:27:00","2017","5","24","0","27","30.69","-88.2","56.1","20.62","20.57","20.74","21.19","95.1","97","998.7048","998.7249","0.287","206.6","0.644","262.2"
"2017-05-24 00:28:00","2017","5","24","0","28","30.69","-88.2","56.1","20.62","20.58","20.75","21.2","95.1","97","998.702","998.7422","0.137","209","0.279","242.3"
"2017-05-24 00:29:00","2017","5","24","0","29","30.69","-88.2","56.1","20.65","20.58","20.74","21.22","95.1","96.9","998.684","998.7241","0.186","208","0.302","268.1"
"2017-05-24 00:30:00","2017","5","24","0","30","30.69","-88.2","56.1","20.61","20.56","20.7","21.16","95.1","96.9","998.6638","998.7241","0.17","204.9","0.033","253.5"
"2017-05-24 00:31:00","2017","5","24","0","31","30.69","-88.2","56.1","20.55","20.52","20.67","21.09","95","96.9","998.7076","998.7478","0.041","198.5","0.078","199"
"2017-05-24 00:32:00","2017","5","24","0","32","30.69","-88.2","56.1","20.56","20.51","20.67","21.13","95.1","96.9","998.7244","998.7444","0.294","201.7","0.18","244.6"
"2017-05-24 00:33:00","2017","5","24","0","33","30.69","-88.2","56.1","20.55","20.5","20.66","21.11","95.1","96.9","998.7058","998.7459","0.137","200.4","0.003","283.7"
"2017-05-24 00:34:00","2017","5","24","0","34","30.69","-88.2","56.1","20.53","20.47","20.64","21.05","95.1","96.8","998.7058","998.766","0.172","199.8","0.127","310.4"
"2017-05-24 00:35:00","2017","5","24","0","35","30.69","-88.2","56.1","20.53","20.48","20.65","21.08","95.1","96.9","998.709","998.7492","0.178","200","0.274","220.7"
"2017-05-24 00:36:00","2017","5","24","0","36","30.69","-88.2","56.1","20.54","20.5","20.62","21.06","95.1","96.8","998.7096","998.7297","0.003","200.6","0.25","236"
"2017-05-24 00:37:00","2017","5","24","0","37","30.69","-88.2","56.1","20.57","20.49","20.61","21.03","95.2","96.9","998.728","998.7481","0.002","200.8","0.196","225.6"
"2017-05-24 00:38:00","2017","5","24","0","38","30.69","-88.2","56.1","20.63","20.57","20.65","21.09","95.3","96.9","998.728","998.7682","0.002","201.8","0.157","235.3"
"2017-05-24 00:39:00","2017","5","24","0","39","30.69","-88.2","56.1","20.66","20.57","20.62","21.05","95.3","96.8","998.7488","998.7689","0.002","203.2","0.229","274.8"
"2017-05-24 00:40:00","2017","5","24","0","40","30.69","-88.2","56.1","20.63","20.57","20.6","20.99","95.2","96.8","998.7834","998.8035","0.002","202.1","0.51","261"
"2017-05-24 00:41:00","2017","5","24","0","41","30.69","-88.2","56.1","20.6","20.52","20.6","21.01","95.2","96.9","998.8052","998.8453","0.002","203.5","0.39","250.3"
"2017-05-24 00:42:00","2017","5","24","0","42","30.69","-88.2","56.1","20.59","20.52","20.62","21.02","95.1","96.9","998.8253","998.8855","0.114","198.9","0.474","242.2"
"2017-05-24 00:43:00","2017","5","24","0","43","30.69","-88.2","56.1","20.57","20.49","20.61","21.08","95.2","96.9","998.8287","998.8488","0.292","198.9","0.216","224.3"
"2017-05-24 00:44:00","2017","5","24","0","44","30.69","-88.2","56.1","20.55","20.49","20.59","21.04","95.1","96.8","998.7671","998.8073","0.185","199","0.265","230.9"
"2017-05-24 00:45:00","2017","5","24","0","45","30.69","-88.2","56.1","20.54","20.47","20.57","21","95.1","96.8","998.7258","998.7459","0.002","199","0.002","229.4"
"2017-05-24 00:46:00","2017","5","24","0","46","30.69","-88.2","56.1","20.52","20.47","20.56","21","95.1","96.8","998.6255","998.6656","0.002","198.9","0.002","229.5"
"2017-05-24 00:47:00","2017","5","24","0","47","30.69","-88.2","56.1","20.49","20.43","20.55","21","95.1","96.8","998.5886","998.6288","0.002","198.9","0.002","228.8"
"2017-05-24 00:48:00","2017","5","24","0","48","30.69","-88.2","56.1","20.45","20.42","20.52","20.97","95.1","96.8","998.585","998.605","0.01","186.6","0.015","25.51"
"2017-05-24 00:49:00","2017","5","24","0","49","30.69","-88.2","56.1","20.38","20.37","20.49","20.92","95","96.8","998.5862","998.6063","0.036","184.3","0.087","204.3"
"2017-05-24 00:50:00","2017","5","24","0","50","30.69","-88.2","56.1","20.35","20.34","20.47","20.92","95","96.8","998.5862","998.6263","0.002","185.7","0.029","208.4"
"2017-05-24 00:51:00","2017","5","24","0","51","30.69","-88.2","56.1","20.33","20.31","20.47","20.89","95","96.8","998.6295","998.6495","0.002","185.9","0.07","213.8"
"2017-05-24 00:52:00","2017","5","24","0","52","30.69","-88.2","56.1","20.32","20.31","20.45","20.88","95.1","96.8","998.668","998.688","0.002","185.9","0.007","239.7"
"2017-05-24 00:53:00","2017","5","24","0","53","30.69","-88.2","56.1","20.32","20.28","20.44","20.84","95.1","96.7","998.7067","998.7468","0.002","187.3","0.002","236.3"
"2017-05-24 00:54:00","2017","5","24","0","54","30.69","-88.2","56.1","20.33","20.26","20.45","20.85","95.1","96.8","998.7468","998.8071","0.002","187.3","0.016","232.9"
"2017-05-24 00:55:00","2017","5","24","0","55","30.69","-88.2","56.1","20.36","20.28","20.44","20.88","95.2","96.7","998.788","998.8282","0.002","187.3","0.214","216.1"
"2017-05-24 00:56:00","2017","5","24","0","56","30.69","-88.2","56.1","20.33","20.26","20.43","20.83","95.2","96.7","998.7888","998.829","0.283","187.8","0.214","231.7"
"2017-05-24 00:57:00","2017","5","24","0","57","30.69","-88.2","56.1","20.35","20.26","20.43","20.86","95.2","96.7","998.8075","998.8476","0.389","187.2","0.126","203.9"
"2017-05-24 00:58:00","2017","5","24","0","58","30.69","-88.2","56.1","20.39","20.28","20.44","20.84","95.2","96.7","998.8275","998.8476","0.064","186.9","0.368","209.2"
"2017-05-24 00:59:00","2017","5","24","0","59","30.69","-88.2","56.1","20.38","20.29","20.42","20.86","95.2","96.7","998.8506","998.8707","0.047","187.9","0.364","211.4"
"2017-05-24 01:00:00","2017","5","24","1","0","30.69","-88.2","56.1","20.37","20.31","20.45","20.87","95.2","96.7","998.8489","998.889","0.266","187.9","0.465","220.8"
"2017-05-24 01:01:00","2017","5","24","1","1","30.69","-88.2","56.1","20.38","20.28","20.45","20.89","95.3","96.7","998.8295","998.8696","0.304","187.8","0.385","219.2"
"2017-05-24 01:02:00","2017","5","24","1","2","30.69","-88.2","56.1","20.36","20.3","20.5","20.92","95.2","96.8","998.7491","998.8093","0.193","186.8","0.245","211.9"
"2017-05-24 01:03:00","2017","5","24","1","3","30.69","-88.2","56.1","20.36","20.3","20.5","20.98","95.2","96.7","998.7116","998.7518","0.002","186","0.021","215.2"
"2017-05-24 01:04:00","2017","5","24","1","4","30.69","-88.2","56.1","20.34","20.27","20.49","20.94","95.2","96.6","998.6694","998.7096","0.002","186.2","0.002","215.2"
