"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2016-10-11 00:00:00","2016","10","11","0","0","30.69","-88.2","56.1","0.002","288.2","0.002","254.6"
"2016-10-11 00:01:00","2016","10","11","0","1","30.69","-88.2","56.1","0.134","288.1","0.002","254.6"
"2016-10-11 00:02:00","2016","10","11","0","2","30.69","-88.2","56.1","0.044","288.1","0.002","254.6"
"2016-10-11 00:03:00","2016","10","11","0","3","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:04:00","2016","10","11","0","4","30.69","-88.2","56.1","0.003","288.1","0.002","254.6"
"2016-10-11 00:05:00","2016","10","11","0","5","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:06:00","2016","10","11","0","6","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:07:00","2016","10","11","0","7","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:08:00","2016","10","11","0","8","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:09:00","2016","10","11","0","9","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:10:00","2016","10","11","0","10","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:11:00","2016","10","11","0","11","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:12:00","2016","10","11","0","12","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:13:00","2016","10","11","0","13","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:14:00","2016","10","11","0","14","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:15:00","2016","10","11","0","15","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:16:00","2016","10","11","0","16","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:17:00","2016","10","11","0","17","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:18:00","2016","10","11","0","18","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:19:00","2016","10","11","0","19","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:20:00","2016","10","11","0","20","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:21:00","2016","10","11","0","21","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:22:00","2016","10","11","0","22","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:23:00","2016","10","11","0","23","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:24:00","2016","10","11","0","24","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:25:00","2016","10","11","0","25","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:26:00","2016","10","11","0","26","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:27:00","2016","10","11","0","27","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:28:00","2016","10","11","0","28","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:29:00","2016","10","11","0","29","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:30:00","2016","10","11","0","30","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:31:00","2016","10","11","0","31","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:32:00","2016","10","11","0","32","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:33:00","2016","10","11","0","33","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:34:00","2016","10","11","0","34","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:35:00","2016","10","11","0","35","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:36:00","2016","10","11","0","36","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:37:00","2016","10","11","0","37","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:38:00","2016","10","11","0","38","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:39:00","2016","10","11","0","39","30.69","-88.2","56.1","0.002","287.9","0.002","254.6"
"2016-10-11 00:40:00","2016","10","11","0","40","30.69","-88.2","56.1","0.002","287.9","0.002","254.6"
"2016-10-11 00:41:00","2016","10","11","0","41","30.69","-88.2","56.1","0.002","287.9","0.002","254.6"
"2016-10-11 00:42:00","2016","10","11","0","42","30.69","-88.2","56.1","0.002","287.9","0.002","254.6"
"2016-10-11 00:43:00","2016","10","11","0","43","30.69","-88.2","56.1","0.002","287.9","0.002","254.6"
"2016-10-11 00:44:00","2016","10","11","0","44","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:45:00","2016","10","11","0","45","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:46:00","2016","10","11","0","46","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:47:00","2016","10","11","0","47","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:48:00","2016","10","11","0","48","30.69","-88.2","56.1","0.136","288","0.002","254.6"
"2016-10-11 00:49:00","2016","10","11","0","49","30.69","-88.2","56.1","0.057","288","0.002","254.6"
"2016-10-11 00:50:00","2016","10","11","0","50","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 00:51:00","2016","10","11","0","51","30.69","-88.2","56.1","0.002","288.1","0.002","254.6"
"2016-10-11 00:52:00","2016","10","11","0","52","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 00:53:00","2016","10","11","0","53","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 00:54:00","2016","10","11","0","54","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 00:55:00","2016","10","11","0","55","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 00:56:00","2016","10","11","0","56","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 00:57:00","2016","10","11","0","57","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 00:58:00","2016","10","11","0","58","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 00:59:00","2016","10","11","0","59","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 01:00:00","2016","10","11","1","0","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 01:01:00","2016","10","11","1","1","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 01:02:00","2016","10","11","1","2","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 01:03:00","2016","10","11","1","3","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 01:04:00","2016","10","11","1","4","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 01:05:00","2016","10","11","1","5","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 01:06:00","2016","10","11","1","6","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 01:07:00","2016","10","11","1","7","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 01:08:00","2016","10","11","1","8","30.69","-88.2","56.1","0.002","288","0.002","254.6"
"2016-10-11 01:09:00","2016","10","11","1","9","30.69","-88.2","56.1","0.052","288","0.002","254.6"
"2016-10-11 01:10:00","2016","10","11","1","10","30.69","-88.2","56.1","0.232","288","0.002","254.6"
"2016-10-11 01:11:00","2016","10","11","1","11","30.69","-88.2","56.1","0.087","288","0.002","254.6"
"2016-10-11 01:12:00","2016","10","11","1","12","30.69","-88.2","56.1","0.02","288","0.002","254.6"
"2016-10-11 01:13:00","2016","10","11","1","13","30.69","-88.2","56.1","0.098","288","0.002","254.6"
"2016-10-11 01:14:00","2016","10","11","1","14","30.69","-88.2","56.1","0.065","288.1","0.002","256.8"
"2016-10-11 01:15:00","2016","10","11","1","15","30.69","-88.2","56.1","0.002","288.1","0.002","256.8"
"2016-10-11 01:16:00","2016","10","11","1","16","30.69","-88.2","56.1","0.002","288.1","0.002","256.8"
"2016-10-11 01:17:00","2016","10","11","1","17","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:18:00","2016","10","11","1","18","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:19:00","2016","10","11","1","19","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:20:00","2016","10","11","1","20","30.69","-88.2","56.1","0.101","288","0.002","256.8"
"2016-10-11 01:21:00","2016","10","11","1","21","30.69","-88.2","56.1","0.132","288","0.002","256.8"
"2016-10-11 01:22:00","2016","10","11","1","22","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:23:00","2016","10","11","1","23","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:24:00","2016","10","11","1","24","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:25:00","2016","10","11","1","25","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:26:00","2016","10","11","1","26","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:27:00","2016","10","11","1","27","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:28:00","2016","10","11","1","28","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:29:00","2016","10","11","1","29","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:30:00","2016","10","11","1","30","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:31:00","2016","10","11","1","31","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:32:00","2016","10","11","1","32","30.69","-88.2","56.1","0.002","288","0.002","256.8"
"2016-10-11 01:33:00","2016","10","11","1","33","30.69","-88.2","56.1","0.002","288","0.002","256.8"
