"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2016-09-27 00:00:00","2016","9","27","0","0","30.69","-88.2","56.1","0.002","57.34","0.237","82.8"
"2016-09-27 00:01:00","2016","9","27","0","1","30.69","-88.2","56.1","0.002","58.85","0.24","81.5"
"2016-09-27 00:02:00","2016","9","27","0","2","30.69","-88.2","56.1","0.002","58.17","0.002","81.4"
"2016-09-27 00:03:00","2016","9","27","0","3","30.69","-88.2","56.1","0.384","306.4","0.002","81.3"
"2016-09-27 00:04:00","2016","9","27","0","4","30.69","-88.2","56.1","0.562","303.9","0.188","306.6"
"2016-09-27 00:05:00","2016","9","27","0","5","30.69","-88.2","56.1","0.204","303.3","0.003","305.9"
"2016-09-27 00:06:00","2016","9","27","0","6","30.69","-88.2","56.1","0.002","303.4","0.002","313.4"
"2016-09-27 00:07:00","2016","9","27","0","7","30.69","-88.2","56.1","0.002","303.5","0.002","313.4"
"2016-09-27 00:08:00","2016","9","27","0","8","30.69","-88.2","56.1","0.002","303.5","0.317","107.7"
"2016-09-27 00:09:00","2016","9","27","0","9","30.69","-88.2","56.1","0.002","303.5","0.51","101.9"
"2016-09-27 00:10:00","2016","9","27","0","10","30.69","-88.2","56.1","0.002","307","0.39","104.6"
"2016-09-27 00:11:00","2016","9","27","0","11","30.69","-88.2","56.1","0.002","303.6","0.016","106.1"
"2016-09-27 00:12:00","2016","9","27","0","12","30.69","-88.2","56.1","0.002","303.1","0.003","106.4"
"2016-09-27 00:13:00","2016","9","27","0","13","30.69","-88.2","56.1","0.002","303.3","0.002","106.3"
"2016-09-27 00:14:00","2016","9","27","0","14","30.69","-88.2","56.1","0.325","305","0.002","106.3"
"2016-09-27 00:15:00","2016","9","27","0","15","30.69","-88.2","56.1","0.276","305.1","0.002","106.3"
"2016-09-27 00:16:00","2016","9","27","0","16","30.69","-88.2","56.1","0.191","305.2","0.002","86.2"
"2016-09-27 00:17:00","2016","9","27","0","17","30.69","-88.2","56.1","0.204","305.1","0.002","314"
"2016-09-27 00:18:00","2016","9","27","0","18","30.69","-88.2","56.1","0.003","305.1","0.002","314"
"2016-09-27 00:19:00","2016","9","27","0","19","30.69","-88.2","56.1","0.002","305.1","0.002","314"
"2016-09-27 00:20:00","2016","9","27","0","20","30.69","-88.2","56.1","0.002","304.6","0.002","313.8"
"2016-09-27 00:21:00","2016","9","27","0","21","30.69","-88.2","56.1","0.002","304.1","0.002","313.6"
"2016-09-27 00:22:00","2016","9","27","0","22","30.69","-88.2","56.1","0.002","302.9","0.002","286.6"
"2016-09-27 00:23:00","2016","9","27","0","23","30.69","-88.2","56.1","0.002","302.9","0.002","270.2"
"2016-09-27 00:24:00","2016","9","27","0","24","30.69","-88.2","56.1","0.116","301.6","0.353","270.2"
"2016-09-27 00:25:00","2016","9","27","0","25","30.69","-88.2","56.1","0.093","293.7","0.423","270.2"
"2016-09-27 00:26:00","2016","9","27","0","26","30.69","-88.2","56.1","0.002","288.1","0.348","270.2"
"2016-09-27 00:27:00","2016","9","27","0","27","30.69","-88.2","56.1","0.002","287.8","0.289","270.2"
"2016-09-27 00:28:00","2016","9","27","0","28","30.69","-88.2","56.1","0.002","287.8","0.199","270.2"
"2016-09-27 00:29:00","2016","9","27","0","29","30.69","-88.2","56.1","0.002","287.8","0.059","270.2"
"2016-09-27 00:30:00","2016","9","27","0","30","30.69","-88.2","56.1","0.002","287.9","0.002","270.2"
"2016-09-27 00:31:00","2016","9","27","0","31","30.69","-88.2","56.1","0.002","288","0.002","270.2"
"2016-09-27 00:32:00","2016","9","27","0","32","30.69","-88.2","56.1","0.002","288.4","0.002","270.2"
