"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2016-09-13 00:00:00","2016","9","13","0","0","30.69","-88.2","56.1","0.007","89.7","0.021","93.7"
"2016-09-13 00:01:00","2016","9","13","0","1","30.69","-88.2","56.1","0.038","89.4","0.002","136.2"
"2016-09-13 00:02:00","2016","9","13","0","2","30.69","-88.2","56.1","0.002","87.7","0.049","321.4"
"2016-09-13 00:03:00","2016","9","13","0","3","30.69","-88.2","56.1","0.002","349.3","0.132","347.8"
"2016-09-13 00:04:00","2016","9","13","0","4","30.69","-88.2","56.1","0.067","340.8","0.225","326.3"
"2016-09-13 00:05:00","2016","9","13","0","5","30.69","-88.2","56.1","0.16","313.9","0.459","354.5"
"2016-09-13 00:06:00","2016","9","13","0","6","30.69","-88.2","56.1","0.119","301.5","0.198","358.3"
"2016-09-13 00:07:00","2016","9","13","0","7","30.69","-88.2","56.1","0.096","301.6","0.438","349.7"
"2016-09-13 00:08:00","2016","9","13","0","8","30.69","-88.2","56.1","0.216","302.3","0.397","0.698"
"2016-09-13 00:09:00","2016","9","13","0","9","30.69","-88.2","56.1","0.109","302.1","0.263","330.5"
"2016-09-13 00:10:00","2016","9","13","0","10","30.69","-88.2","56.1","0.005","302.1","0.354","347.7"
"2016-09-13 00:11:00","2016","9","13","0","11","30.69","-88.2","56.1","0.002","301.8","0.34","348.2"
"2016-09-13 00:12:00","2016","9","13","0","12","30.69","-88.2","56.1","0.002","254.5","0.296","331.3"
"2016-09-13 00:13:00","2016","9","13","0","13","30.69","-88.2","56.1","0.052","253.1","0.207","312.3"
"2016-09-13 00:14:00","2016","9","13","0","14","30.69","-88.2","56.1","0.087","254.6","0.225","341.3"
"2016-09-13 00:15:00","2016","9","13","0","15","30.69","-88.2","56.1","0.01","254.3","0.002","331.4"
"2016-09-13 00:16:00","2016","9","13","0","16","30.69","-88.2","56.1","0.021","254.6","0.193","299.3"
"2016-09-13 00:17:00","2016","9","13","0","17","30.69","-88.2","56.1","0.002","255.1","0.421","18.59"
"2016-09-13 00:18:00","2016","9","13","0","18","30.69","-88.2","56.1","0.002","258","0.002","339"
"2016-09-13 00:19:00","2016","9","13","0","19","30.69","-88.2","56.1","0.002","257.2","0.648","21.58"
"2016-09-13 00:20:00","2016","9","13","0","20","30.69","-88.2","56.1","0.111","34.12","0.399","356.9"
"2016-09-13 00:21:00","2016","9","13","0","21","30.69","-88.2","56.1","0.322","54.66","0.668","16.62"
"2016-09-13 00:22:00","2016","9","13","0","22","30.69","-88.2","56.1","0.087","60.86","0.287","339"
"2016-09-13 00:23:00","2016","9","13","0","23","30.69","-88.2","56.1","0.002","60.76","0.011","347.6"
