"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2017-03-07 00:00:00","2017","3","7","0","0","30.69","-88.2","56.1","1.512","116.3","2.948","128.6"
"2017-03-07 00:01:00","2017","3","7","0","1","30.69","-88.2","56.1","2.378","126.1","2.976","132.2"
"2017-03-07 00:02:00","2017","3","7","0","2","30.69","-88.2","56.1","1.509","115.5","2.31","131.4"
"2017-03-07 00:03:00","2017","3","7","0","3","30.69","-88.2","56.1","1.32","163.9","1.491","154.6"
"2017-03-07 00:04:00","2017","3","7","0","4","30.69","-88.2","56.1","1.364","106","2.282","123"
"2017-03-07 00:05:00","2017","3","7","0","5","30.69","-88.2","56.1","1.478","113.8","2.605","125"
"2017-03-07 00:06:00","2017","3","7","0","6","30.69","-88.2","56.1","1.847","128.1","2.902","132"
"2017-03-07 00:07:00","2017","3","7","0","7","30.69","-88.2","56.1","1.815","118.1","2.617","131.2"
"2017-03-07 00:08:00","2017","3","7","0","8","30.69","-88.2","56.1","1.12","90.3","1.478","139.4"
"2017-03-07 00:09:00","2017","3","7","0","9","30.69","-88.2","56.1","1.331","104.7","1.49","127.7"
"2017-03-07 00:10:00","2017","3","7","0","10","30.69","-88.2","56.1","1.463","128.6","2.078","130.1"
"2017-03-07 00:11:00","2017","3","7","0","11","30.69","-88.2","56.1","1.813","117.8","2.138","132.4"
"2017-03-07 00:12:00","2017","3","7","0","12","30.69","-88.2","56.1","1.191","118.7","2.051","129.1"
"2017-03-07 00:13:00","2017","3","7","0","13","30.69","-88.2","56.1","1.878","121.9","2.541","130.1"
"2017-03-07 00:14:00","2017","3","7","0","14","30.69","-88.2","56.1","1.259","104.1","1.833","126.3"
"2017-03-07 00:15:00","2017","3","7","0","15","30.69","-88.2","56.1","1.632","115.7","2.327","129.2"
"2017-03-07 00:16:00","2017","3","7","0","16","30.69","-88.2","56.1","1.365","109.9","2.22","129.8"
"2017-03-07 00:17:00","2017","3","7","0","17","30.69","-88.2","56.1","0.555","147.4","0.724","156"
"2017-03-07 00:18:00","2017","3","7","0","18","30.69","-88.2","56.1","1.305","127.9","2.301","128.2"
"2017-03-07 00:19:00","2017","3","7","0","19","30.69","-88.2","56.1","2.194","111.2","3.159","131.4"
"2017-03-07 00:20:00","2017","3","7","0","20","30.69","-88.2","56.1","1.904","127.9","3.301","134.1"
"2017-03-07 00:21:00","2017","3","7","0","21","30.69","-88.2","56.1","1.904","131.4","2.414","142.2"
"2017-03-07 00:22:00","2017","3","7","0","22","30.69","-88.2","56.1","1.467","107.8","1.601","133.7"
"2017-03-07 00:23:00","2017","3","7","0","23","30.69","-88.2","56.1","1.334","102.4","2.094","137.1"
"2017-03-07 00:24:00","2017","3","7","0","24","30.69","-88.2","56.1","1.481","121.9","1.924","134.3"
"2017-03-07 00:25:00","2017","3","7","0","25","30.69","-88.2","56.1","2.303","115.5","3.267","128"
"2017-03-07 00:26:00","2017","3","7","0","26","30.69","-88.2","56.1","2.158","120.9","2.648","132.5"
"2017-03-07 00:27:00","2017","3","7","0","27","30.69","-88.2","56.1","1.702","116.7","3.03","133.4"
"2017-03-07 00:28:00","2017","3","7","0","28","30.69","-88.2","56.1","1.071","110.9","2.501","131.9"
"2017-03-07 00:29:00","2017","3","7","0","29","30.69","-88.2","56.1","0.794","115.8","1.465","125.5"
"2017-03-07 00:30:00","2017","3","7","0","30","30.69","-88.2","56.1","1.12","123.9","2.007","127.8"
"2017-03-07 00:31:00","2017","3","7","0","31","30.69","-88.2","56.1","2.174","118.7","2.911","136"
