"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2017-02-07 00:00:00","2017","2","7","0","0","30.69","-88.2","56.1","0.382","145.6","1.032","150.8"
"2017-02-07 00:01:00","2017","2","7","0","1","30.69","-88.2","56.1","0.621","95.1","1.197","116.7"
"2017-02-07 00:02:00","2017","2","7","0","2","30.69","-88.2","56.1","0.33","88.4","0.384","130.2"
"2017-02-07 00:03:00","2017","2","7","0","3","30.69","-88.2","56.1","0.898","121","1.441","141"
"2017-02-07 00:04:00","2017","2","7","0","4","30.69","-88.2","56.1","0.077","122.6","0.614","152.4"
"2017-02-07 00:05:00","2017","2","7","0","5","30.69","-88.2","56.1","0.488","115.8","1.022","121.1"
"2017-02-07 00:06:00","2017","2","7","0","6","30.69","-88.2","56.1","0.893","113.6","1.722","126.9"
"2017-02-07 00:07:00","2017","2","7","0","7","30.69","-88.2","56.1","0.773","132.2","1.31","124"
"2017-02-07 00:08:00","2017","2","7","0","8","30.69","-88.2","56.1","0.781","92.3","0.915","115.7"
"2017-02-07 00:09:00","2017","2","7","0","9","30.69","-88.2","56.1","0.4","104.1","1.085","110.1"
"2017-02-07 00:10:00","2017","2","7","0","10","30.69","-88.2","56.1","1.135","117.3","1.633","137.9"
"2017-02-07 00:11:00","2017","2","7","0","11","30.69","-88.2","56.1","0.139","176.4","0.354","177.5"
"2017-02-07 00:12:00","2017","2","7","0","12","30.69","-88.2","56.1","0.193","166.1","1.019","136.2"
"2017-02-07 00:13:00","2017","2","7","0","13","30.69","-88.2","56.1","0.139","165.2","0.706","132.5"
"2017-02-07 00:14:00","2017","2","7","0","14","30.69","-88.2","56.1","0.425","58.53","0.645","114.2"
"2017-02-07 00:15:00","2017","2","7","0","15","30.69","-88.2","56.1","0.737","91.3","0.724","121.8"
"2017-02-07 00:16:00","2017","2","7","0","16","30.69","-88.2","56.1","1.918","126.7","2.53","134.6"
"2017-02-07 00:17:00","2017","2","7","0","17","30.69","-88.2","56.1","1.72","138","2.107","138.1"
"2017-02-07 00:18:00","2017","2","7","0","18","30.69","-88.2","56.1","0.764","115.1","1.414","127.5"
"2017-02-07 00:19:00","2017","2","7","0","19","30.69","-88.2","56.1","1.102","102.5","1.129","126"
"2017-02-07 00:20:00","2017","2","7","0","20","30.69","-88.2","56.1","0.152","108.5","0.742","111.2"
"2017-02-07 00:21:00","2017","2","7","0","21","30.69","-88.2","56.1","0.403","142.4","0.686","114"
"2017-02-07 00:22:00","2017","2","7","0","22","30.69","-88.2","56.1","0.315","82.5","0.572","101.2"
"2017-02-07 00:23:00","2017","2","7","0","23","30.69","-88.2","56.1","0.413","133.6","0.555","167"
"2017-02-07 00:24:00","2017","2","7","0","24","30.69","-88.2","56.1","0.83","157.9","0.836","118.3"
"2017-02-07 00:25:00","2017","2","7","0","25","30.69","-88.2","56.1","0.421","107.4","0.771","147.6"
"2017-02-07 00:26:00","2017","2","7","0","26","30.69","-88.2","56.1","0.575","185.7","0.469","155"
"2017-02-07 00:27:00","2017","2","7","0","27","30.69","-88.2","56.1","1.374","169.2","1.321","145.4"
"2017-02-07 00:28:00","2017","2","7","0","28","30.69","-88.2","56.1","1.308","119.3","2.123","133.1"
"2017-02-07 00:29:00","2017","2","7","0","29","30.69","-88.2","56.1","0.5","125.5","1.05","132"
"2017-02-07 00:30:00","2017","2","7","0","30","30.69","-88.2","56.1","1.189","211.2","0.973","147"
"2017-02-07 00:31:00","2017","2","7","0","31","30.69","-88.2","56.1","1.552","119.2","2.198","141"
"2017-02-07 00:32:00","2017","2","7","0","32","30.69","-88.2","56.1","0.632","124","0.859","153"
"2017-02-07 00:33:00","2017","2","7","0","33","30.69","-88.2","56.1","0.412","75.28","0.722","114.7"
"2017-02-07 00:34:00","2017","2","7","0","34","30.69","-88.2","56.1","1.058","108.1","1.486","131.6"
"2017-02-07 00:35:00","2017","2","7","0","35","30.69","-88.2","56.1","1.169","118.2","1.615","131.1"
"2017-02-07 00:36:00","2017","2","7","0","36","30.69","-88.2","56.1","0.612","89.5","0.402","151.4"
"2017-02-07 00:37:00","2017","2","7","0","37","30.69","-88.2","56.1","0.488","103.6","0.644","120.9"
"2017-02-07 00:38:00","2017","2","7","0","38","30.69","-88.2","56.1","0.706","96.9","0.82","128.3"
"2017-02-07 00:39:00","2017","2","7","0","39","30.69","-88.2","56.1","0.351","127.1","0.356","120.6"
"2017-02-07 00:40:00","2017","2","7","0","40","30.69","-88.2","56.1","0.322","187","0.802","142.6"
"2017-02-07 00:41:00","2017","2","7","0","41","30.69","-88.2","56.1","0.72","95.5","1.38","129.4"
"2017-02-07 00:42:00","2017","2","7","0","42","30.69","-88.2","56.1","0.297","117.9","0.787","135.6"
"2017-02-07 00:43:00","2017","2","7","0","43","30.69","-88.2","56.1","0.676","109.7","1.475","126.4"
"2017-02-07 00:44:00","2017","2","7","0","44","30.69","-88.2","56.1","0.541","105.1","0.552","149.7"
"2017-02-07 00:45:00","2017","2","7","0","45","30.69","-88.2","56.1","0.317","80.3","0.314","137.2"
"2017-02-07 00:46:00","2017","2","7","0","46","30.69","-88.2","56.1","0.755","92.7","1.432","123.9"
"2017-02-07 00:47:00","2017","2","7","0","47","30.69","-88.2","56.1","0.857","86.3","0.848","128.8"
"2017-02-07 00:48:00","2017","2","7","0","48","30.69","-88.2","56.1","0.384","144.6","0.668","106.3"
"2017-02-07 00:49:00","2017","2","7","0","49","30.69","-88.2","56.1","0.655","118.1","1.715","126"
"2017-02-07 00:50:00","2017","2","7","0","50","30.69","-88.2","56.1","1.712","115.5","1.777","133"
"2017-02-07 00:51:00","2017","2","7","0","51","30.69","-88.2","56.1","1.56","128.7","2.212","133.5"
"2017-02-07 00:52:00","2017","2","7","0","52","30.69","-88.2","56.1","1.628","119.6","2.38","129.9"
"2017-02-07 00:53:00","2017","2","7","0","53","30.69","-88.2","56.1","1.753","108.7","2.43","128.3"
"2017-02-07 00:54:00","2017","2","7","0","54","30.69","-88.2","56.1","0.915","128.8","1.05","146.6"
"2017-02-07 00:55:00","2017","2","7","0","55","30.69","-88.2","56.1","1.921","121.4","2.14","130.4"
"2017-02-07 00:56:00","2017","2","7","0","56","30.69","-88.2","56.1","0.853","122.1","1.846","128.8"
"2017-02-07 00:57:00","2017","2","7","0","57","30.69","-88.2","56.1","1.679","117.4","1.996","123.2"
"2017-02-07 00:58:00","2017","2","7","0","58","30.69","-88.2","56.1","0.336","102.2","0.916","149.1"
"2017-02-07 00:59:00","2017","2","7","0","59","30.69","-88.2","56.1","0.996","100.7","1.026","118.1"
"2017-02-07 01:00:00","2017","2","7","1","0","30.69","-88.2","56.1","0.764","121.7","1.503","145.6"
"2017-02-07 01:01:00","2017","2","7","1","1","30.69","-88.2","56.1","1.186","114.4","1.705","138.7"
"2017-02-07 01:02:00","2017","2","7","1","2","30.69","-88.2","56.1","0.451","143.1","0.957","123.2"
"2017-02-07 01:03:00","2017","2","7","1","3","30.69","-88.2","56.1","0.647","68.2","0.939","113.1"
"2017-02-07 01:04:00","2017","2","7","1","4","30.69","-88.2","56.1","0.946","92.1","1.135","152.4"
"2017-02-07 01:05:00","2017","2","7","1","5","30.69","-88.2","56.1","1.246","98.7","1.542","134"
"2017-02-07 01:06:00","2017","2","7","1","6","30.69","-88.2","56.1","0.67","99.3","0.978","126.9"
"2017-02-07 01:07:00","2017","2","7","1","7","30.69","-88.2","56.1","0.645","110.2","1.083","124.3"
"2017-02-07 01:08:00","2017","2","7","1","8","30.69","-88.2","56.1","1.085","128.2","1.382","155.3"
"2017-02-07 01:09:00","2017","2","7","1","9","30.69","-88.2","56.1","0.15","214.5","0.405","94.4"
"2017-02-07 01:10:00","2017","2","7","1","10","30.69","-88.2","56.1","0.046","155.6","0.297","232.1"
"2017-02-07 01:11:00","2017","2","7","1","11","30.69","-88.2","56.1","0.55","8.79","0.621","69.15"
"2017-02-07 01:12:00","2017","2","7","1","12","30.69","-88.2","56.1","0.487","95.6","0.617","129.7"
"2017-02-07 01:13:00","2017","2","7","1","13","30.69","-88.2","56.1","0.199","62.65","0.304","94.9"
"2017-02-07 01:14:00","2017","2","7","1","14","30.69","-88.2","56.1","0.222","83.8","0.76","135.5"
"2017-02-07 01:15:00","2017","2","7","1","15","30.69","-88.2","56.1","0.399","211.1","1.083","168.7"
