"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2016-10-25 00:00:00","2016","10","25","0","0","30.69","-88.2","56.1","0.002","290.3","0.002","258.2"
"2016-10-25 00:01:00","2016","10","25","0","1","30.69","-88.2","56.1","0.002","290.3","0.002","258.2"
"2016-10-25 00:02:00","2016","10","25","0","2","30.69","-88.2","56.1","0.002","290.3","0.002","258.2"
"2016-10-25 00:03:00","2016","10","25","0","3","30.69","-88.2","56.1","0.002","290.3","0.002","258.2"
"2016-10-25 00:04:00","2016","10","25","0","4","30.69","-88.2","56.1","0.002","290.3","0.002","258.2"
"2016-10-25 00:05:00","2016","10","25","0","5","30.69","-88.2","56.1","0.002","290.3","0.002","258.2"
"2016-10-25 00:06:00","2016","10","25","0","6","30.69","-88.2","56.1","0.002","290.3","0.002","258.2"
"2016-10-25 00:07:00","2016","10","25","0","7","30.69","-88.2","56.1","0.002","290.3","0.002","258.2"
"2016-10-25 00:08:00","2016","10","25","0","8","30.69","-88.2","56.1","0.002","290.3","0.002","258.2"
"2016-10-25 00:09:00","2016","10","25","0","9","30.69","-88.2","56.1","0.013","290.2","0.002","258.2"
"2016-10-25 00:10:00","2016","10","25","0","10","30.69","-88.2","56.1","0.232","290.2","0.002","258.1"
"2016-10-25 00:11:00","2016","10","25","0","11","30.69","-88.2","56.1","0.341","290.2","0.002","258.1"
"2016-10-25 00:12:00","2016","10","25","0","12","30.69","-88.2","56.1","0.395","290.2","0.314","258.1"
"2016-10-25 00:13:00","2016","10","25","0","13","30.69","-88.2","56.1","0.449","290.3","0.359","258.1"
"2016-10-25 00:14:00","2016","10","25","0","14","30.69","-88.2","56.1","0.516","290.3","0.4","258.1"
"2016-10-25 00:15:00","2016","10","25","0","15","30.69","-88.2","56.1","0.544","290.3","0.448","258.1"
"2016-10-25 00:16:00","2016","10","25","0","16","30.69","-88.2","56.1","0.524","290.2","0.537","258"
"2016-10-25 00:17:00","2016","10","25","0","17","30.69","-88.2","56.1","0.568","290.3","0.603","258"
"2016-10-25 00:18:00","2016","10","25","0","18","30.69","-88.2","56.1","0.596","290.3","0.596","258"
"2016-10-25 00:19:00","2016","10","25","0","19","30.69","-88.2","56.1","0.719","289.9","0.696","259.5"
"2016-10-25 00:20:00","2016","10","25","0","20","30.69","-88.2","56.1","0.879","289.5","0.833","266.8"
"2016-10-25 00:21:00","2016","10","25","0","21","30.69","-88.2","56.1","0.482","288.9","0.425","263"
"2016-10-25 00:22:00","2016","10","25","0","22","30.69","-88.2","56.1","0.438","289.7","0.341","263"
"2016-10-25 00:23:00","2016","10","25","0","23","30.69","-88.2","56.1","0.379","290","0.245","262.5"
"2016-10-25 00:24:00","2016","10","25","0","24","30.69","-88.2","56.1","0.206","290","0.065","262.3"
"2016-10-25 00:25:00","2016","10","25","0","25","30.69","-88.2","56.1","0.283","290.1","0.002","253.6"
"2016-10-25 00:26:00","2016","10","25","0","26","30.69","-88.2","56.1","0.002","290.1","0.002","253.6"
"2016-10-25 00:27:00","2016","10","25","0","27","30.69","-88.2","56.1","0.002","290.1","0.002","253.6"
"2016-10-25 00:28:00","2016","10","25","0","28","30.69","-88.2","56.1","0.002","290.1","0.002","253.6"
"2016-10-25 00:29:00","2016","10","25","0","29","30.69","-88.2","56.1","0.002","290.1","0.002","253.6"
"2016-10-25 00:30:00","2016","10","25","0","30","30.69","-88.2","56.1","0.002","290.1","0.002","253.6"
"2016-10-25 00:31:00","2016","10","25","0","31","30.69","-88.2","56.1","0.002","290.1","0.002","253.6"
"2016-10-25 00:32:00","2016","10","25","0","32","30.69","-88.2","56.1","0.002","290.1","0.002","253.6"
"2016-10-25 00:33:00","2016","10","25","0","33","30.69","-88.2","56.1","0.002","290.1","0.002","253.6"
"2016-10-25 00:34:00","2016","10","25","0","34","30.69","-88.2","56.1","0.002","290.1","0.067","270.1"
"2016-10-25 00:35:00","2016","10","25","0","35","30.69","-88.2","56.1","0.002","290.1","0.002","270.9"
"2016-10-25 00:36:00","2016","10","25","0","36","30.69","-88.2","56.1","0.002","290.1","0.002","270.9"
"2016-10-25 00:37:00","2016","10","25","0","37","30.69","-88.2","56.1","0.002","290.1","0.002","270.9"
"2016-10-25 00:38:00","2016","10","25","0","38","30.69","-88.2","56.1","0.002","290.1","0.002","270.9"
"2016-10-25 00:39:00","2016","10","25","0","39","30.69","-88.2","56.1","0.002","290.1","0.002","270.9"
"2016-10-25 00:40:00","2016","10","25","0","40","30.69","-88.2","56.1","0.005","290.1","0.002","270.9"
"2016-10-25 00:41:00","2016","10","25","0","41","30.69","-88.2","56.1","0.155","290.1","0.002","270.9"
"2016-10-25 00:42:00","2016","10","25","0","42","30.69","-88.2","56.1","0.002","290.1","0.002","270.9"
