"TS","Year","Month","DayOfMon","Hour","Minute","Lat","Lon","Elev","WndSpd_2m_WVc_1","WndSpd_2m_WVc_3","WndSpd_10m_WVc_1","WndSpd_10m_WVc_3"
"2016-10-21 00:00:00","2016","10","21","0","0","30.69","-88.2","56.1","0.172","175.6","0.211","258.3"
"2016-10-21 00:01:00","2016","10","21","0","1","30.69","-88.2","56.1","0.038","207.7","0.186","27.21"
"2016-10-21 00:02:00","2016","10","21","0","2","30.69","-88.2","56.1","0.016","140","0.069","62.68"
"2016-10-21 00:03:00","2016","10","21","0","3","30.69","-88.2","56.1","0.201","117.4","0.139","32.95"
"2016-10-21 00:04:00","2016","10","21","0","4","30.69","-88.2","56.1","0.114","95.1","0.382","18.09"
"2016-10-21 00:05:00","2016","10","21","0","5","30.69","-88.2","56.1","0.162","218.2","0.02","65.17"
"2016-10-21 00:06:00","2016","10","21","0","6","30.69","-88.2","56.1","0.003","222.4","0.276","339.6"
"2016-10-21 00:07:00","2016","10","21","0","7","30.69","-88.2","56.1","0.002","223","0.369","14.17"
"2016-10-21 00:08:00","2016","10","21","0","8","30.69","-88.2","56.1","0.417","208.6","0.552","320"
"2016-10-21 00:09:00","2016","10","21","0","9","30.69","-88.2","56.1","0.614","151.5","0.725","1.607"
"2016-10-21 00:10:00","2016","10","21","0","10","30.69","-88.2","56.1","0.173","150.1","0.109","147.1"
"2016-10-21 00:11:00","2016","10","21","0","11","30.69","-88.2","56.1","0.072","169.2","0.679","322.8"
"2016-10-21 00:12:00","2016","10","21","0","12","30.69","-88.2","56.1","0.797","243.9","1.08","286.9"
"2016-10-21 00:13:00","2016","10","21","0","13","30.69","-88.2","56.1","0.722","99.7","0.32","286.7"
"2016-10-21 00:14:00","2016","10","21","0","14","30.69","-88.2","56.1","0.08","60.15","0.216","66.37"
"2016-10-21 00:15:00","2016","10","21","0","15","30.69","-88.2","56.1","0.97","238.9","0.617","276.3"
"2016-10-21 00:16:00","2016","10","21","0","16","30.69","-88.2","56.1","0.25","155.7","0.431","333.2"
"2016-10-21 00:17:00","2016","10","21","0","17","30.69","-88.2","56.1","0.565","172.3","0.725","289.8"
"2016-10-21 00:18:00","2016","10","21","0","18","30.69","-88.2","56.1","0.029","227.3","0.245","288.4"
"2016-10-21 00:19:00","2016","10","21","0","19","30.69","-88.2","56.1","0.021","333","0.065","354.1"
"2016-10-21 00:20:00","2016","10","21","0","20","30.69","-88.2","56.1","0.284","238.4","0.385","283.8"
"2016-10-21 00:21:00","2016","10","21","0","21","30.69","-88.2","56.1","0.436","352.7","0.35","306.5"
"2016-10-21 00:22:00","2016","10","21","0","22","30.69","-88.2","56.1","0.002","17.26","0.002","269.5"
"2016-10-21 00:23:00","2016","10","21","0","23","30.69","-88.2","56.1","0.002","22.27","0.034","262.2"
"2016-10-21 00:24:00","2016","10","21","0","24","30.69","-88.2","56.1","0.216","169.3","0.835","277"
"2016-10-21 00:25:00","2016","10","21","0","25","30.69","-88.2","56.1","0.15","56.35","0.297","285.8"
"2016-10-21 00:26:00","2016","10","21","0","26","30.69","-88.2","56.1","0.253","30.86","0.263","283.1"
"2016-10-21 00:27:00","2016","10","21","0","27","30.69","-88.2","56.1","0.126","26.68","0.203","276.6"
