"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.036104643E0,-3.486759949E1,-2.359479904E1,-2.781599998E1
1.046104643E0,-3.486759949E1,-2.346059990E1,-2.796239853E1
1.056104643E0,-3.475780106E1,-2.346059990E1,-2.795019913E1
1.066104643E0,-3.480659866E1,-2.337520027E1,-2.803559875E1
1.076104643E0,-3.481879807E1,-2.326539993E1,-2.804780006E1
1.086104643E0,-3.492860031E1,-2.310680008E1,-2.815760040E1
1.096104643E0,-3.506279755E1,-2.294820023E1,-2.813319969E1
1.106104643E0,-3.516040039E1,-2.285059929E1,-2.823079872E1
1.116104643E0,-3.531900024E1,-2.281399918E1,-2.825519943E1
1.126104643E0,-3.533119965E1,-2.285059929E1,-2.818199921E1
1.136104643E0,-3.533119965E1,-2.274079895E1,-2.821859932E1
1.146104643E0,-3.535559845E1,-2.270419884E1,-2.820639992E1
1.156104643E0,-3.530680084E1,-2.266759872E1,-2.823079872E1
1.166104643E0,-3.520919800E1,-2.266759872E1,-2.812100029E1
1.176104643E0,-3.509939957E1,-2.261879921E1,-2.820639992E1
1.186104643E0,-3.497739792E1,-2.265539932E1,-2.821859932E1
1.196104643E0,-3.479439926E1,-2.264319992E1,-2.818199921E1
1.206104643E0,-3.464799881E1,-2.261879921E1,-2.821859932E1
1.216104643E0,-3.463579941E1,-2.267980003E1,-2.831620026E1
1.226104643E0,-3.456259918E1,-2.267980003E1,-2.829179955E1
1.236104643E0,-3.447719955E1,-2.267980003E1,-2.832839966E1
1.246104643E0,-3.437960052E1,-2.265539932E1,-2.851140022E1
1.256104643E0,-3.424539948E1,-2.270419884E1,-2.857239914E1
1.266104643E0,-3.412339783E1,-2.267980003E1,-2.865779877E1
1.276104643E0,-3.402579880E1,-2.264319992E1,-2.875539970E1
1.286104643E0,-3.402579880E1,-2.260659981E1,-2.875539970E1
1.296104643E0,-3.397700119E1,-2.252120018E1,-2.879199982E1
1.306104643E0,-3.387939835E1,-2.248460007E1,-2.887739944E1
1.316104643E0,-3.381839752E1,-2.243579865E1,-2.891399956E1
1.326104643E0,-3.378179932E1,-2.237479973E1,-2.886520004E1
1.336104643E0,-3.381839752E1,-2.228940010E1,-2.890180016E1
1.346104643E0,-3.391600037E1,-2.220400047E1,-2.896279907E1
1.356104643E0,-3.397700119E1,-2.202099991E1,-2.902379990E1
1.366104643E0,-3.397700119E1,-2.189900017E1,-2.910919952E1
1.376104643E0,-3.392819977E1,-2.180139923E1,-2.908479881E1
1.386104643E0,-3.395259857E1,-2.171599960E1,-2.901159859E1
1.396104643E0,-3.406240082E1,-2.155739975E1,-2.906040001E1
1.406104643E0,-3.415999985E1,-2.149639893E1,-2.898719978E1
1.416104643E0,-3.430640030E1,-2.144759941E1,-2.896279907E1
1.426104643E0,-3.437960052E1,-2.143540001E1,-2.885299873E1
1.436104643E0,-3.440399933E1,-2.145979881E1,-2.876759911E1
1.446104643E0,-3.446500015E1,-2.142319870E1,-2.871879959E1
1.456104643E0,-3.462360001E1,-2.141099930E1,-2.867000008E1
1.466104643E0,-3.473339844E1,-2.135000038E1,-2.870660019E1
1.476104643E0,-3.470899963E1,-2.141099930E1,-2.862119865E1
1.486104643E0,-3.472119904E1,-2.147200012E1,-2.860899925E1
1.496104643E0,-3.464799881E1,-2.147200012E1,-2.857239914E1
1.506104643E0,-3.466019821E1,-2.150860023E1,-2.854800034E1
1.516104643E0,-3.469680023E1,-2.160619926E1,-2.849919891E1
1.526104643E0,-3.477000046E1,-2.170380020E1,-2.837719917E1
1.536104643E0,-3.480659866E1,-2.171599960E1,-2.829179955E1
1.546104643E0,-3.481879807E1,-2.181359863E1,-2.829179955E1
1.556104643E0,-3.494079971E1,-2.182579994E1,-2.834059906E1
1.566104643E0,-3.500180054E1,-2.182579994E1,-2.838939857E1
1.576104643E0,-3.506279755E1,-2.189900017E1,-2.837719917E1
1.586104643E0,-3.507500076E1,-2.183799934E1,-2.836499977E1
1.596104643E0,-3.513599777E1,-2.180139923E1,-2.835280037E1
1.606104643E0,-3.517259979E1,-2.185019875E1,-2.843820000E1
1.616104643E0,-3.520919800E1,-2.192339897E1,-2.845039940E1
1.626104643E0,-3.525799942E1,-2.198439980E1,-2.836499977E1
1.636104643E0,-3.525799942E1,-2.208199883E1,-2.829179955E1
1.646104643E0,-3.524580002E1,-2.217959976E1,-2.826739883E1
1.656104643E0,-3.531900024E1,-2.224059868E1,-2.819419861E1
1.666104643E0,-3.536779785E1,-2.243579865E1,-2.815760040E1
1.676104643E0,-3.539220047E1,-2.250899887E1,-2.814539909E1
1.686104643E0,-3.540439987E1,-2.258219910E1,-2.805999947E1
1.696104643E0,-3.541659927E1,-2.263099861E1,-2.803559875E1
1.706104643E0,-3.539220047E1,-2.271640015E1,-2.804780006E1
1.716104643E0,-3.538000107E1,-2.272859955E1,-2.801119995E1
1.726104643E0,-3.542879868E1,-2.271640015E1,-2.797459984E1
1.736104643E0,-3.536779785E1,-2.274079895E1,-2.796239853E1
1.746104643E0,-3.534339905E1,-2.265539932E1,-2.795019913E1
1.756104643E0,-3.530680084E1,-2.269199944E1,-2.797459984E1
1.766104643E0,-3.534339905E1,-2.261879921E1,-2.810879898E1
1.776104643E0,-3.531900024E1,-2.265539932E1,-2.820639992E1
1.786104643E0,-3.530680084E1,-2.269199944E1,-2.818199921E1
1.796104643E0,-3.531900024E1,-2.272859955E1,-2.810879898E1
1.806104643E0,-3.530680084E1,-2.281399918E1,-2.798679924E1
1.816104643E0,-3.530680084E1,-2.286279869E1,-2.802339935E1
1.826104643E0,-3.535559845E1,-2.299699974E1,-2.803559875E1
1.836104643E0,-3.544099808E1,-2.304579926E1,-2.795019913E1
1.846104643E0,-3.546540070E1,-2.313119888E1,-2.775499916E1
1.856104643E0,-3.557519913E1,-2.316779900E1,-2.759639931E1
1.866104643E0,-3.569720078E1,-2.313119888E1,-2.766959953E1
