"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.958164140E-1,-2.298433632E-1,4.991910458E0,7.986458302E0
1.978287060E-1,-2.298433632E-1,4.896142483E0,8.139687538E0
1.998412060E-1,-2.346317619E-1,4.786009312E0,8.254609108E0
2.018537060E-1,-2.346317619E-1,4.718971729E0,8.331223488E0
2.038663620E-1,-2.825157940E-1,4.584896088E0,8.398261070E0
2.058791220E-1,-3.878606856E-1,4.407725334E0,8.456320763E0
2.078900080E-1,-6.374561787E-1,3.928286552E0,8.499416351E0
2.099011010E-1,-1.068412542E0,3.104681015E0,8.595184326E0
2.119122470E-1,-7.811083198E-1,3.712808371E0,8.115745544E0
2.139237060E-1,-5.656301379E-1,4.125209332E0,7.976881504E0
2.159354760E-1,-4.453215301E-1,4.489128113E0,7.962516308E0
2.179474030E-1,-2.968810201E-1,4.853046894E0,8.010400772E0
2.199596430E-1,-1.388636976E-1,5.207987309E0,8.091803551E0
2.219719870E-1,-2.873042040E-2,5.452195644E0,8.149264336E0
2.239845910E-1,8.619125932E-2,5.629366875E0,8.211513519E0
2.259974560E-1,2.633621991E-1,5.811326027E0,8.106168747E0
2.280103720E-1,3.591302633E-1,5.964554787E0,7.928997517E0
2.300234970E-1,4.261679053E-1,6.050746441E0,7.847594738E0
2.320354240E-1,4.453215301E-1,6.093842030E0,7.833229542E0
2.340475600E-1,4.309563041E-1,6.103418827E0,7.876325130E0
2.360598510E-1,3.591302633E-1,6.060323238E0,7.876325130E0
2.380721430E-1,2.873041928E-1,5.964554787E0,7.809287548E0
2.400845910E-1,2.154781520E-1,5.816114426E0,7.838017941E0
2.420962580E-1,8.619125932E-2,5.643732071E0,7.833229542E0
2.441081330E-1,-3.351882473E-2,5.485714436E0,7.833229542E0
2.461200600E-1,-1.675941199E-1,5.294178486E0,7.847594738E0
2.481320390E-1,-3.160346150E-1,5.112219334E0,7.842806339E0
2.501442260E-1,-4.118026793E-1,4.958391666E0,7.914632320E0
2.521564140E-1,-5.219359994E-1,4.795586109E0,7.938574314E0
2.541688100E-1,-5.363011956E-1,4.675876141E0,7.905055523E0
2.561812580E-1,-5.895721912E-1,4.560954094E0,7.914632320E0
2.581937060E-1,-6.039373875E-1,4.469974518E0,7.938574314E0
2.602063100E-1,-6.183025837E-1,4.388571739E0,7.996035099E0
2.622178200E-1,-6.566098332E-1,4.311957359E0,8.091803551E0
2.642295390E-1,-6.949170232E-1,4.254496574E0,8.110957146E0
2.662412580E-1,-6.853402257E-1,4.216189384E0,8.163629532E0
2.682532370E-1,-6.949170232E-1,4.187458992E0,8.221090317E0
2.702654240E-1,-7.044938207E-1,4.177882195E0,8.288127899E0
2.722778720E-1,-6.566098332E-1,4.192247391E0,8.379107475E0
2.742904760E-1,-6.183025837E-1,4.230554581E0,8.528146744E0
2.763030810E-1,-5.554547906E-1,4.235342979E0,8.643068314E0
2.783158410E-1,-4.788403511E-1,4.268861771E0,8.681375504E0
2.803287060E-1,-4.070142806E-1,4.326322556E0,8.762778282E0
2.823393830E-1,-3.495534360E-1,4.331110954E0,8.781931877E0
2.843500600E-1,-3.208230138E-1,4.335899353E0,8.868123055E0
2.863608410E-1,-3.112462163E-1,4.345476151E0,8.930372238E0
2.883717780E-1,-3.016694188E-1,4.374206543E0,9.030928612E0
2.903828720E-1,-2.920926213E-1,4.364629745E0,9.121908188E0
2.923942260E-1,-2.585737705E-1,4.359841347E0,9.198522568E0
2.944061010E-1,-2.202665508E-1,4.369418144E0,9.299078941E0
2.964181850E-1,-1.628057212E-1,4.364629745E0,9.399636269E0
2.984306850E-1,-1.197100878E-1,4.345476151E0,9.404424667E0
3.004435490E-1,-9.097966552E-2,4.331110954E0,9.370905876E0
3.024567780E-1,-9.097966552E-2,4.326322556E0,9.356540680E0
3.044700600E-1,-9.097966552E-2,4.302380562E0,9.433155060E0
3.064833930E-1,-1.340752989E-1,4.273650169E0,9.519346237E0
3.084969350E-1,-1.628057212E-1,4.283226967E0,9.543288231E0
3.105105810E-1,-1.675941199E-1,4.230554581E0,9.553462982E0
3.125243310E-1,-8.619125932E-2,4.072536945E0,9.749788284E0
3.145380810E-1,-7.661445439E-2,4.005499363E0,9.936535835E0
3.165457370E-1,-1.915361360E-2,4.062960148E0,9.677961349E0
3.185537580E-1,5.267243832E-2,4.048594952E0,9.279925346E0
3.205622470E-1,5.746084079E-2,4.067748547E0,8.901641846E0
3.225713620E-1,-2.873042040E-2,4.096478939E0,8.767566681E0
3.245812060E-1,-1.915361285E-1,4.077325344E0,8.772355080E0
3.265916220E-1,-3.687070608E-1,4.096478939E0,9.026140213E0
3.286028720E-1,-4.979939461E-1,4.096478939E0,9.380482674E0
3.306149560E-1,-5.602431893E-1,4.129997730E0,9.658807755E0
3.326278720E-1,-5.602431893E-1,4.158728123E0,9.840767860E0
3.346415700E-1,-5.123591423E-1,4.149151325E0,9.869498253E0
3.366557370E-1,-4.644751251E-1,4.158728123E0,9.869498253E0
3.386704760E-1,-4.548983276E-1,4.129997730E0,9.792883873E0
3.406856330E-1,-4.644751251E-1,4.077325344E0,9.706692696E0
3.427011010E-1,-4.740519226E-1,4.000710964E0,9.649230957E0
3.447167260E-1,-5.315127969E-1,3.918709517E0,9.601346970E0
3.467277160E-1,-5.943605900E-1,3.870825529E0,9.558251381E0
3.487389660E-1,-6.326677799E-1,3.794211149E0,9.418789864E0
3.507504760E-1,-6.709750295E-1,3.765480757E0,9.284713745E0
3.527622990E-1,-7.284358740E-1,3.660135746E0,9.193734169E0
3.547741740E-1,-7.811083198E-1,3.526060581E0,9.069235802E0
3.567861530E-1,-8.481459618E-1,3.425503969E0,9.011775017E0
3.587982370E-1,-9.199720025E-1,3.339312792E0,9.059659004E0
3.608105810E-1,-9.822212458E-1,3.224391222E0,9.064447403E0
3.628232370E-1,-1.073200941E0,3.248333216E0,9.169792175E0
3.648361010E-1,-1.140238523E0,3.176506996E0,9.279925346E0
3.668489660E-1,-1.159392118E0,3.166930199E0,9.313444138E0
3.688619870E-1,-1.159392118E0,3.138199806E0,9.308655739E0
3.708751120E-1,-1.135450125E0,3.205237627E0,9.284713745E0
3.728883410E-1,-1.077989340E0,3.286640406E0,9.275136948E0
