"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.239845910E-1,-1.152582169E0,5.756253004E-1,2.797568142E-1
2.259974560E-1,-1.163234472E0,5.830819011E-1,2.616478503E-1
2.280103720E-1,-1.178147674E0,5.798861980E-1,2.392779738E-1
2.300234970E-1,-1.185604334E0,5.639077425E-1,2.126471400E-1
2.320354240E-1,-1.188800097E0,5.457987785E-1,1.838858575E-1
2.340475600E-1,-1.194126248E0,5.234288573E-1,1.529940963E-1
2.360598510E-1,-1.196256638E0,5.010589957E-1,1.242327988E-1
2.380721430E-1,-1.198387146E0,4.797543287E-1,9.547150880E-2
2.400845910E-1,-1.204778552E0,4.477973282E-1,6.990591437E-2
2.420962580E-1,-1.207974195E0,4.169055820E-1,4.966649041E-2
2.441081330E-1,-1.212235212E0,3.913399875E-1,3.049229458E-2
2.461200600E-1,-1.218626618E0,3.604482114E-1,1.770949923E-2
2.481320390E-1,-1.222887516E0,3.348826170E-1,7.057168987E-3
2.501442260E-1,-1.227148414E0,3.039908707E-1,2.796236658E-3
2.521564140E-1,-1.230344176E0,2.784252763E-1,-3.994623839E-4
2.541688100E-1,-1.228213668E0,2.517944574E-1,3.861469682E-3
2.561812580E-1,-1.229278922E0,2.304897904E-1,8.122402243E-3
2.581937060E-1,-1.230344176E0,1.953371018E-1,1.344856713E-2
2.602063100E-1,-1.231409431E0,1.676410437E-1,2.197043039E-2
2.622178200E-1,-1.231409431E0,1.474016160E-1,3.155753016E-2
2.642295390E-1,-1.230344176E0,1.229012609E-1,4.220985994E-2
2.662412580E-1,-1.227148414E0,1.058575287E-1,5.179695413E-2
2.682532370E-1,-1.219691753E0,8.455286920E-2,6.138405204E-2
2.702654240E-1,-1.214365602E0,6.324820966E-2,6.777545065E-2
2.722778720E-1,-1.207974195E0,4.513924941E-2,7.736254483E-2
2.742904760E-1,-1.198387146E0,2.809552103E-2,8.375394344E-2
2.763030810E-1,-1.187734842E0,2.489982173E-2,8.908011019E-2
2.783158410E-1,-1.171756268E0,1.424749196E-2,9.440627694E-2
2.803287060E-1,-1.160038710E0,5.725627299E-3,9.866721183E-2
2.823393830E-1,-1.142995000E0,-6.657706108E-4,9.866721183E-2
2.843500600E-1,-1.131277442E0,-9.187635034E-3,1.007976755E-1
2.863608410E-1,-1.115298986E0,-1.557903271E-2,1.029281393E-1
2.883717780E-1,-1.098255277E0,-2.197043039E-2,1.007976755E-1
2.903828720E-1,-1.081211567E0,-1.983996481E-2,9.973244369E-2
2.923942260E-1,-1.057776451E0,-1.557903271E-2,9.760197252E-2
2.944061010E-1,-1.041797876E0,-1.131810062E-2,9.334104508E-2
2.964181850E-1,-1.021558523E0,-4.926702939E-3,9.014534205E-2
2.984306850E-1,-1.003449559E0,-1.731003635E-3,8.268871158E-2
3.004435490E-1,-9.832100868E-1,8.921326138E-3,7.416684926E-2
3.024567780E-1,-9.672315717E-1,9.986559860E-3,6.564498693E-2
3.044700600E-1,-9.480574131E-1,1.637795754E-2,5.925358832E-2
3.064833930E-1,-9.320788980E-1,2.489982173E-2,5.179695413E-2
3.084969350E-1,-9.118394852E-1,3.874785081E-2,4.220985994E-2
3.105105810E-1,-8.947957158E-1,4.620448127E-2,3.581846133E-2
3.125243310E-1,-8.788172603E-1,6.963960826E-2,2.197043039E-2
3.145380810E-1,-8.617734909E-1,1.260969639E-1,-2.529928461E-3
3.165457370E-1,-8.479254842E-1,1.825543046E-1,-2.809552103E-2
3.185537580E-1,-8.298165202E-1,2.155765295E-1,-4.726971686E-2
3.205622470E-1,-8.191642165E-1,2.187722325E-1,-6.005251035E-2
3.225713620E-1,-8.085118532E-1,1.921414137E-1,-6.750914454E-2
3.245812060E-1,-7.989247441E-1,1.623148769E-1,-6.750914454E-2
3.265916220E-1,-7.904028893E-1,1.260969639E-1,-6.644391268E-2
3.286028720E-1,-7.840114832E-1,1.069227681E-1,-6.324820966E-2
3.306149560E-1,-7.701634765E-1,1.122489274E-1,-6.324820966E-2
3.326278720E-1,-7.605763674E-1,1.207707971E-1,-6.324820966E-2
3.346415700E-1,-7.456631064E-1,1.410102248E-1,-6.644391268E-2
3.366557370E-1,-7.318150997E-1,1.676410437E-1,-6.963960826E-2
3.386704760E-1,-7.200975418E-1,1.889457107E-1,-7.496577501E-2
3.406856330E-1,-7.083799839E-1,2.081198990E-1,-7.709623873E-2
3.427011010E-1,-6.934667230E-1,2.272941023E-1,-8.029194176E-2
3.447167260E-1,-6.817491055E-1,2.400768995E-1,-8.029194176E-2
3.467277160E-1,-6.710968018E-1,2.549901605E-1,-8.348763734E-2
3.487389660E-1,-6.636402011E-1,2.645772398E-1,-8.029194176E-2
3.507504760E-1,-6.540530920E-1,2.667077184E-1,-7.709623873E-2
3.527622990E-1,-6.487269402E-1,2.624467909E-1,-6.750914454E-2
3.547741740E-1,-6.423355341E-1,2.507292330E-1,-5.579157919E-2
3.567861530E-1,-6.455312371E-1,2.230331600E-1,-3.342168778E-2
3.587982370E-1,-6.455312371E-1,2.059894353E-1,-9.986559860E-3
3.608105810E-1,-6.434007287E-1,1.857500076E-1,2.090519853E-2
3.628232370E-1,-6.465964317E-1,1.665758193E-1,5.392742157E-2
3.648361010E-1,-6.497921348E-1,1.580539495E-1,8.588441461E-2
3.668489660E-1,-6.551182866E-1,1.569887102E-1,1.157109365E-1
3.688619870E-1,-6.593792439E-1,1.623148769E-1,1.444722265E-1
3.708751120E-1,-6.625749469E-1,1.708367467E-1,1.711030602E-1
3.728883410E-1,-6.668358445E-1,1.772281379E-1,1.956034154E-1
3.749015700E-1,-6.732272506E-1,1.836195439E-1,2.169080675E-1
3.769102160E-1,-6.785534620E-1,1.910761744E-1,2.350170314E-1
3.789191740E-1,-6.806839108E-1,1.932066381E-1,2.509955168E-1
3.809285490E-1,-6.860100627E-1,1.942718774E-1,2.584521770E-1
3.829384450E-1,-6.860100627E-1,1.910761744E-1,2.659088075E-1
3.849489140E-1,-6.870753169E-1,1.825543046E-1,2.680392563E-1
3.869598510E-1,-6.902710199E-1,1.697715074E-1,2.659088075E-1
3.889714660E-1,-6.913362145E-1,1.527277827E-1,2.659088075E-1
3.909837060E-1,-6.892057657E-1,1.335535944E-1,2.605826259E-1
3.929966220E-1,-6.934667230E-1,1.037270650E-1,2.552564740E-1
3.950101120E-1,-6.924014688E-1,7.922670245E-2,2.488650680E-1
3.970239140E-1,-6.998580694E-1,4.513924941E-2,2.403431982E-1
3.990381330E-1,-7.051842809E-1,1.464695437E-3,2.328865677E-1
4.010526640E-1,-7.105104327E-1,-3.581846133E-2,2.222342342E-1
4.030674030E-1,-7.243584394E-1,-7.949301600E-2,2.158428431E-1
4.050822470E-1,-7.296846509E-1,-1.199718714E-1,2.073209733E-1
4.070928200E-1,-7.424674034E-1,-1.551245600E-1,1.977338791E-1
4.091036010E-1,-7.552502155E-1,-1.860163212E-1,1.892120093E-1
4.111146430E-1,-7.776201367E-1,-2.147776037E-1,1.828206182E-1
4.131259970E-1,-7.967942953E-1,-2.414084375E-1,1.753639877E-1
4.151376640E-1,-8.149032593E-1,-2.659088075E-1,1.689725816E-1
4.171494870E-1,-8.404688835E-1,-2.882786989E-1,1.615159512E-1
4.191616740E-1,-8.628387451E-1,-3.063876629E-1,1.540593207E-1
4.211741740E-1,-8.852086663E-1,-3.149095178E-1,1.444722265E-1
4.231869870E-1,-9.097089767E-1,-3.213009238E-1,1.359503716E-1
4.251998510E-1,-9.342093468E-1,-3.266270757E-1,1.274285018E-1
4.272127680E-1,-9.565792680E-1,-3.223661482E-1,1.199718714E-1
4.292258930E-1,-9.832100868E-1,-3.266270757E-1,1.125152409E-1
4.312391220E-1,-1.008775711E0,-3.223661482E-1,1.050586104E-1
4.332524560E-1,-1.031145573E0,-3.149095178E-1,9.547150880E-2
4.352658410E-1,-1.054580688E0,-3.095833361E-1,8.908011019E-2
4.372750080E-1,-1.076950550E0,-3.085181117E-1,7.949301600E-2
4.392844870E-1,-1.097190022E0,-2.968005538E-1,7.203638554E-2
4.412943310E-1,-1.116364241E0,-2.904091477E-1,6.671021879E-2
4.433046430E-1,-1.134473205E0,-2.712349594E-1,6.138405204E-2
4.453154760E-1,-1.156843066E0,-2.531259954E-1,5.712312087E-2
4.473266740E-1,-1.172821522E0,-2.296908647E-1,5.073172227E-2
4.493384450E-1,-1.185604334E0,-2.009295821E-1,4.753602296E-2
4.513507370E-1,-1.200517654E0,-1.732335240E-1,4.434032366E-2
4.533633410E-1,-1.212235212E0,-1.466026902E-1,4.434032366E-2
4.553762060E-1,-1.222887516E0,-1.199718714E-1,4.434032366E-2
4.573893310E-1,-1.235670328E0,-9.760197252E-2,4.753602296E-2
4.594026640E-1,-1.243126988E0,-7.310161740E-2,4.647079110E-2
4.614161530E-1,-1.253779292E0,-5.605788901E-2,4.860125855E-2
4.634299560E-1,-1.258040190E0,-4.434032366E-2,5.179695413E-2
4.654439660E-1,-1.267627239E0,-3.581846133E-2,5.179695413E-2
4.674579760E-1,-1.275083899E0,-3.049229458E-2,5.392742157E-2
4.694720390E-1,-1.278279662E0,-2.942706272E-2,5.499265343E-2
4.714816740E-1,-1.285736203E0,-2.729659714E-2,5.605788901E-2
4.734915700E-1,-1.291062474E0,-2.836182900E-2,5.712312087E-2
4.755017780E-1,-1.296388626E0,-3.368799388E-2,5.605788901E-2
4.775121950E-1,-1.301714778E0,-3.794892505E-2,5.499265343E-2
4.795230810E-1,-1.310236573E0,-4.753602296E-2,5.712312087E-2
4.815342260E-1,-1.314497590E0,-5.179695413E-2,5.286218971E-2
4.835458930E-1,-1.320888996E0,-5.818835273E-2,5.286218971E-2
4.855580810E-1,-1.326215148E0,-6.884068251E-2,5.179695413E-2
4.875706330E-1,-1.332606554E0,-8.268871158E-2,4.860125855E-2
4.895836530E-1,-1.338997960E0,-9.547150880E-2,4.540555924E-2
4.915968830E-1,-1.345389366E0,-1.103847697E-1,4.114462435E-2
4.936104760E-1,-1.349650264E0,-1.263632625E-1,3.688369319E-2
4.956243830E-1,-1.353911161E0,-1.434070021E-1,3.475322574E-2
4.976383410E-1,-1.361367822E0,-1.604507267E-1,3.049229458E-2
4.996524030E-1,-1.362433076E0,-1.764292270E-1,2.516612969E-2
5.016637060E-1,-1.362433076E0,-1.956034154E-1,1.983996481E-2
5.036752680E-1,-1.367759228E0,-2.179733068E-1,1.557903271E-2
5.056870390E-1,-1.370954871E0,-2.435389012E-1,1.238333434E-2
5.076988620E-1,-1.373085380E0,-2.563216984E-1,4.926702939E-3
