00045359,XQ,+103008,+0665,+0373,2016/12/09,16:46:43,+0304919387,-0882120348,+00032828,08
00045359,XQ,+102983,+0660,+0429,2016/12/09,16:46:44,+0304919460,-0882120503,+00032698,08
00045359,XQ,+102988,+0698,+0429,2016/12/09,16:46:45,+0304919483,-0882120595,+00032872,08
00045359,XQ,+103009,+0646,+0386,2016/12/09,16:46:46,+0304919495,-0882120644,+00033114,08
00045359,XQ,+103008,+0603,+0352,2016/12/09,16:46:47,+0304919463,-0882120638,+00033519,08
00045359,XQ,+103004,+0584,+0352,2016/12/09,16:46:48,+0304919474,-0882120633,+00034240,08
00045359,XQ,+102990,+0580,+0371,2016/12/09,16:46:49,+0304919521,-0882120631,+00034734,08
00045359,XQ,+102985,+0623,+0365,2016/12/09,16:46:50,+0304919573,-0882120655,+00034695,08
00045359,XQ,+102986,+0655,+0369,2016/12/09,16:46:51,+0304919639,-0882120681,+00034754,08
00045359,XQ,+102987,+0614,+0360,2016/12/09,16:46:52,+0304919752,-0882120685,+00034896,08
00045359,XQ,+102960,+0613,+0422,2016/12/09,16:46:53,+0304919825,-0882120687,+00034973,08
00045359,XQ,+102975,+0585,+0389,2016/12/09,16:46:54,+0304919821,-0882120720,+00035070,08
00045359,XQ,+102976,+0515,+0387,2016/12/09,16:46:55,+0304919818,-0882120747,+00035409,08
00045359,XQ,+102973,+0487,+0380,2016/12/09,16:46:56,+0304919809,-0882120748,+00035939,08
00045359,XQ,+102976,+0479,+0353,2016/12/09,16:46:57,+0304919807,-0882120739,+00036622,08
00045359,XQ,+102950,+0485,+0369,2016/12/09,16:46:58,+0304919798,-0882120748,+00037151,08
00045359,XQ,+102960,+0481,+0359,2016/12/09,16:46:59,+0304919805,-0882120752,+00037599,08
00045359,XQ,+102945,+0478,+0356,2016/12/09,16:47:00,+0304919825,-0882120764,+00037850,08
00045359,XQ,+102936,+0489,+0386,2016/12/09,16:47:01,+0304919963,-0882120778,+00038820,08
00045359,XQ,+102941,+0494,+0386,2016/12/09,16:47:02,+0304920092,-0882120778,+00040130,08
00045359,XQ,+102918,+0503,+0396,2016/12/09,16:47:03,+0304920154,-0882120772,+00041116,08
00045359,XQ,+102898,+0512,+0389,2016/12/09,16:47:04,+0304920263,-0882120764,+00042171,08
00045359,XQ,+102904,+0526,+0400,2016/12/09,16:47:05,+0304920317,-0882120782,+00042666,08
00045359,XQ,+102890,+0495,+0403,2016/12/09,16:47:06,+0304920346,-0882120791,+00043390,08
00045359,XQ,+102878,+0489,+0404,2016/12/09,16:47:07,+0304920359,-0882120808,+00043906,08
00045359,XQ,+102872,+0504,+0405,2016/12/09,16:47:08,+0304920390,-0882120815,+00044665,08
00045359,XQ,+102860,+0518,+0416,2016/12/09,16:47:09,+0304920389,-0882120806,+00045301,08
00045359,XQ,+102843,+0538,+0415,2016/12/09,16:47:10,+0304920356,-0882120772,+00045974,08
00045359,XQ,+102850,+0541,+0375,2016/12/09,16:47:11,+0304920339,-0882120737,+00046504,08
00045359,XQ,+102833,+0530,+0368,2016/12/09,16:47:12,+0304920344,-0882120757,+00047067,08
00045359,XQ,+102832,+0519,+0388,2016/12/09,16:47:13,+0304920375,-0882120776,+00047730,08
00045359,XQ,+102842,+0519,+0369,2016/12/09,16:47:14,+0304920425,-0882120773,+00047890,08
00045359,XQ,+102826,+0527,+0381,2016/12/09,16:47:15,+0304920573,-0882120748,+00048517,08
00045359,XQ,+102802,+0531,+0426,2016/12/09,16:47:16,+0304920699,-0882120709,+00049449,08
00045359,XQ,+102775,+0548,+0387,2016/12/09,16:47:17,+0304920763,-0882120690,+00050413,08
00045359,XQ,+102792,+0538,+0382,2016/12/09,16:47:18,+0304920780,-0882120716,+00050952,08
00045359,XQ,+102783,+0531,+0408,2016/12/09,16:47:19,+0304920818,-0882120740,+00051625,08
00045359,XQ,+102769,+0527,+0398,2016/12/09,16:47:20,+0304920879,-0882120725,+00052387,08
00045359,XQ,+102776,+0543,+0402,2016/12/09,16:47:21,+0304920951,-0882120705,+00053103,08
00045359,XQ,+102767,+0539,+0376,2016/12/09,16:47:22,+0304921029,-0882120682,+00053906,08
00045359,XQ,+102754,+0494,+0387,2016/12/09,16:47:23,+0304921121,-0882120668,+00054839,08
00045359,XQ,+102737,+0486,+0404,2016/12/09,16:47:24,+0304921204,-0882120643,+00055972,08
00045359,XQ,+102740,+0479,+0359,2016/12/09,16:47:25,+0304921208,-0882120587,+00057109,08
00045359,XQ,+102727,+0481,+0345,2016/12/09,16:47:26,+0304921223,-0882120516,+00057998,08
00045359,XQ,+102719,+0478,+0348,2016/12/09,16:47:27,+0304921306,-0882120451,+00058561,08
00045359,XQ,+102705,+0487,+0352,2016/12/09,16:47:28,+0304921465,-0882120403,+00059356,08
00045359,XQ,+102693,+0495,+0346,2016/12/09,16:47:29,+0304921601,-0882120370,+00060286,08
00045359,XQ,+102643,+0513,+0365,2016/12/09,16:47:30,+0304921733,-0882120348,+00061301,08
00045359,XQ,+102677,+0504,+0349,2016/12/09,16:47:31,+0304921807,-0882120338,+00062294,08
00045359,XQ,+102654,+0505,+0354,2016/12/09,16:47:32,+0304921914,-0882120357,+00063474,08
00045359,XQ,+102633,+0510,+0355,2016/12/09,16:47:33,+0304922012,-0882120397,+00064656,08
00045359,XQ,+102615,+0487,+0356,2016/12/09,16:47:34,+0304922117,-0882120439,+00065714,08
00045359,XQ,+102629,+0493,+0366,2016/12/09,16:47:35,+0304922192,-0882120433,+00066517,08
00045359,XQ,+102609,+0464,+0367,2016/12/09,16:47:36,+0304922272,-0882120406,+00067253,08
00045359,XQ,+102590,+0451,+0358,2016/12/09,16:47:37,+0304922298,-0882120387,+00068082,08
00045359,XQ,+102586,+0441,+0357,2016/12/09,16:47:38,+0304922298,-0882120394,+00068864,08
00045359,XQ,+102581,+0438,+0346,2016/12/09,16:47:39,+0304922247,-0882120441,+00069308,08
00045359,XQ,+102565,+0438,+0348,2016/12/09,16:47:40,+0304922199,-0882120458,+00069760,08
00045359,XQ,+102560,+0440,+0348,2016/12/09,16:47:41,+0304922187,-0882120452,+00070165,08
00045359,XQ,+102567,+0445,+0347,2016/12/09,16:47:42,+0304922227,-0882120438,+00070546,08
00045359,XQ,+102556,+0457,+0349,2016/12/09,16:47:43,+0304922251,-0882120411,+00070699,08
00045359,XQ,+102552,+0466,+0349,2016/12/09,16:47:44,+0304922320,-0882120380,+00071015,08
00045359,XQ,+102546,+0468,+0358,2016/12/09,16:47:45,+0304922406,-0882120334,+00071286,08
00045359,XQ,+102546,+0455,+0364,2016/12/09,16:47:46,+0304922441,-0882120300,+00071246,08
00045359,XQ,+102548,+0448,+0367,2016/12/09,16:47:47,+0304922426,-0882120301,+00071377,08
00045359,XQ,+102537,+0453,+0363,2016/12/09,16:47:48,+0304922419,-0882120339,+00071453,08
00045359,XQ,+102551,+0455,+0348,2016/12/09,16:47:49,+0304922403,-0882120400,+00071451,08
00045359,XQ,+102548,+0443,+0355,2016/12/09,16:47:50,+0304922448,-0882120457,+00071941,08
00045359,XQ,+102554,+0449,+0363,2016/12/09,16:47:51,+0304922524,-0882120461,+00072320,08
00045359,XQ,+102543,+0460,+0368,2016/12/09,16:47:52,+0304922596,-0882120386,+00072443,08
00045359,XQ,+102540,+0458,+0362,2016/12/09,16:47:53,+0304922643,-0882120285,+00072332,08
00045359,XQ,+102536,+0448,+0369,2016/12/09,16:47:54,+0304922647,-0882120206,+00072289,08
00045359,XQ,+102539,+0439,+0367,2016/12/09,16:47:55,+0304922623,-0882120172,+00072271,08
00045359,XQ,+102521,+0444,+0389,2016/12/09,16:47:56,+0304922583,-0882120171,+00072307,08
00045359,XQ,+102509,+0442,+0366,2016/12/09,16:47:57,+0304922481,-0882120190,+00072405,08
00045359,XQ,+102521,+0440,+0356,2016/12/09,16:47:58,+0304922369,-0882120216,+00072547,08
00045359,XQ,+102527,+0444,+0357,2016/12/09,16:47:59,+0304922302,-0882120242,+00072820,08
00045359,XQ,+102517,+0455,+0366,2016/12/09,16:48:00,+0304922286,-0882120271,+00073049,08
00045359,XQ,+102533,+0470,+0363,2016/12/09,16:48:01,+0304922321,-0882120282,+00073048,08
00045359,XQ,+102526,+0478,+0367,2016/12/09,16:48:02,+0304922319,-0882120298,+00073099,08
00045359,XQ,+102531,+0487,+0376,2016/12/09,16:48:03,+0304922307,-0882120299,+00073057,08
00045359,XQ,+102531,+0476,+0367,2016/12/09,16:48:04,+0304922239,-0882120287,+00072867,08
00045359,XQ,+102530,+0461,+0368,2016/12/09,16:48:05,+0304922164,-0882120248,+00072796,08
00045359,XQ,+102539,+0448,+0367,2016/12/09,16:48:06,+0304922097,-0882120176,+00072904,08
00045359,XQ,+102533,+0438,+0365,2016/12/09,16:48:07,+0304922097,-0882120109,+00073013,08
00045359,XQ,+102535,+0438,+0359,2016/12/09,16:48:08,+0304922166,-0882120084,+00073026,08
00045359,XQ,+102532,+0449,+0366,2016/12/09,16:48:09,+0304922208,-0882120090,+00072956,08
00045359,XQ,+102523,+0453,+0362,2016/12/09,16:48:10,+0304922226,-0882120111,+00072605,08
00045359,XQ,+102537,+0453,+0365,2016/12/09,16:48:11,+0304922283,-0882120102,+00072501,08
00045359,XQ,+102537,+0461,+0363,2016/12/09,16:48:12,+0304922369,-0882120068,+00072391,08
